top,util,aspect,pearson,kendall,spearman,pearson_deg,kendall_deg,spearman_deg
aes_cipher_top,0.8,1.25,0.32090615115337046,0.2222677039682857,0.32281415094005705,0.5171346396166007,0.4294428199316301,0.5372507733945434
ariane,0.65,1.5,0.4202199813488069,0.22577085150169005,0.33008842495152624,0.61856798032849,0.4669921056176304,0.5700287937020635
RocketTile,0.7,0.75,0.4892622797061884,0.3131702279352914,0.45124729284350157,0.6530350206618954,0.49848893397251987,0.6115147263486711
bsg_chip,0.5,2.0,0.4410968357502882,0.26244536189743717,0.3814572882587201,0.5873878552880561,0.4688731648601904,0.5704481001060615
bsg_chip,0.55,1.25,0.43937209332682564,0.2557188153021717,0.3725169653928874,0.5878237069793365,0.47883347414188915,0.5816198472303737
aes_cipher_top,0.7,0.75,0.32684974046067594,0.22707479007078288,0.3295641007184721,0.5288940634660492,0.4417002596687851,0.551926918672627
bsg_chip,0.6,1.75,0.4358449818203334,0.25674465248272454,0.3738568933270707,0.5894692706884777,0.48027637916840926,0.5837644416128744
mempool_tile_wrap,0.7,1.0,0.4684849716177758,0.2566915651329091,0.3756260835971141,0.6324229822306463,0.4990033484753908,0.6133336724971045
mempool_tile_wrap,0.8,0.75,0.4706454483673789,0.25892609439908165,0.37836865014432775,0.6360753569938765,0.49955132633845933,0.613585605454371
ariane,0.6,2.0,0.4167278017271805,0.22467549238368306,0.3284657725343749,0.6195128672821637,0.4714731982936301,0.5751139942959023
ariane,0.65,2.0,0.42198671855619796,0.2284377488719468,0.3339611038500573,0.6181661299104161,0.46996098654871254,0.5733080798103675
jpeg_encoder,0.75,0.5,0.3799272873684722,0.22904223248208308,0.33858084298251023,0.6395568371913893,0.43425111763974256,0.5345994033351267
RocketTile,0.8,1.25,0.4866661352020837,0.3112576604517049,0.4477268863573026,0.6599994303844092,0.4988310578329927,0.6114692119367212
bsg_chip,0.7,1.25,0.43475541547867813,0.25423755914492774,0.3704990173503466,0.5869509097033984,0.4827595659226373,0.5864459538416762
bsg_chip,0.65,1.25,0.4335744848331096,0.2534798256528446,0.3695705136665877,0.5860654677122982,0.4758251901876324,0.5782570616170479
jpeg_encoder,0.6,1.25,0.3786780711476446,0.22596678150223673,0.3338823809854693,0.6408283285168723,0.43268356920217804,0.5336460261255437
jpeg_encoder,0.8,0.5,0.38580230827061707,0.2309585371368693,0.3409386951678397,0.6377217175705502,0.42915901716714316,0.5288484057695302
bsg_chip,0.7,1.0,0.43466831344009893,0.25277753549201065,0.3684384610257687,0.5876936458241455,0.47642491899504064,0.5787996043043342
RocketTile,0.75,1.25,0.48403716077212433,0.3102543364674276,0.4462560843506697,0.6580351010031759,0.5028255637690292,0.6170867943957822
ariane,0.8,1.75,0.4126102752182177,0.22234464124155462,0.3253437860422993,0.614769169294817,0.46430451304911113,0.5670117607021634
mempool_tile_wrap,0.6,0.75,0.4703323159719169,0.2586230820558552,0.3788117824975258,0.634439945701528,0.5010861937695003,0.6155381650522092
mempool_tile_wrap,0.65,0.75,0.4715551098303165,0.2600172636192091,0.38000336416329994,0.6328073378049826,0.501311095850227,0.6157757670062391
RocketTile,0.75,1.5,0.4873676775745436,0.3111791875134632,0.4476474156065215,0.6620049515948443,0.50020976838554,0.6130825281760398
jpeg_encoder,0.65,1.5,0.38182931686306176,0.22798688595731934,0.33659196912658745,0.6419613921778022,0.4289025457391156,0.528604514320027
mempool_tile_wrap,0.65,1.25,0.46803146257675404,0.25439157341881186,0.3733860826740548,0.6302749351540292,0.5036958921593753,0.6184162241075121
mempool_tile_wrap,0.65,1.5,0.47133681504719116,0.2573767958273977,0.3771635246736178,0.6296232187029062,0.5013695023085565,0.6152782080493306
RocketTile,0.6,0.75,0.4860527573494839,0.3080040993119045,0.4443257803296954,0.6549925678061843,0.5016881423228472,0.6157362695318057
mempool_tile_wrap,0.65,1.0,0.4661682367250988,0.25626447357695686,0.37462328745362966,0.6270759181309143,0.49709559746716403,0.6110281068500201
mempool_tile_wrap,0.7,1.25,0.46504357712839983,0.25234217457969654,0.3699464568366949,0.6302840019536059,0.5013729033252997,0.6157627494450524
bsg_chip,0.65,1.5,0.43256925073627084,0.25668072775015005,0.37408652617512406,0.5834336661218348,0.4755388499473328,0.5780995373613771
ariane,0.6,1.75,0.41367616028340687,0.22475730150706938,0.3282771629357132,0.6181980246039885,0.47000542201845696,0.5734750054455657
bsg_chip,0.5,1.0,0.4373079997014771,0.25844765871675585,0.376708012603738,0.5864564390352234,0.4787600565007784,0.5819628500789056
aes_cipher_top,0.8,1.0,0.3318822499980095,0.22957687567153473,0.3333802636764107,0.5284101398342517,0.4372372423755809,0.5473946199373744
jpeg_encoder,0.6,1.5,0.3729466034616922,0.22057663952330564,0.32598109315933815,0.6401688476812929,0.43600935770926136,0.5370679962484438
aes_cipher_top,0.8,1.5,0.31878208201225505,0.22140049435579842,0.32145725780492235,0.5104869277590697,0.4257465990631507,0.5316126399158707
mempool_tile_wrap,0.8,1.0,0.4704793175053154,0.2591732451815385,0.3786046436824654,0.6305268231086576,0.49863056387218985,0.6138122701626427
jpeg_encoder,0.8,0.75,0.37717143315210877,0.22466307378372968,0.33210377619143916,0.6414246438518183,0.42864264990083406,0.5288347712532689
jpeg_encoder,0.7,0.75,0.3795494808349715,0.22495265865441413,0.3320255028056391,0.6477567473117462,0.43514823873162756,0.5362574819520635
jpeg_encoder,0.7,0.5,0.38048125045569886,0.22649544056465223,0.3345659915883307,0.6398140212983192,0.4353581795047584,0.5356072818220703
bsg_chip,0.55,1.75,0.43357306175912735,0.2547220105179346,0.37093022493414163,0.5878139453401499,0.4793935981816633,0.5827250000068731
RocketTile,0.8,0.5,0.4960688454437082,0.31959457570556415,0.4605254049128506,0.654720912266793,0.4978490496645257,0.6106335804673204
jpeg_encoder,0.7,1.25,0.3792152874220762,0.22419887540159,0.331128004854454,0.6399053841197172,0.4309374552535142,0.5306573563434908
bsg_chip,0.65,1.75,0.42628926649509613,0.2507494405276416,0.3654220213406281,0.5901207134518077,0.4764756086531535,0.5791734729915945
aes_cipher_top,0.6,0.5,0.31854123140527696,0.22362061623995116,0.32469236848888267,0.5159685432676127,0.43347892686877654,0.5395945259604163
jpeg_encoder,0.65,1.0,0.37951529518222266,0.22652493253911332,0.33517261329527603,0.6412980239833121,0.43084069359752436,0.531176886412177
bsg_chip,0.5,1.25,0.4429789674804812,0.25907031647991846,0.3772167366061033,0.5845065679607658,0.47719826491950307,0.57981306245299
ariane,0.65,1.75,0.4183066659238068,0.22536867941530928,0.32955039228559546,0.623914509617588,0.4714921672311641,0.5751572024307074
aes_cipher_top,0.75,0.75,0.32233242020490105,0.22525858308704771,0.32702427277443846,0.537865936257303,0.44934626726970744,0.5621369829359791
bsg_chip,0.7,1.5,0.4287607814262965,0.25502474763339683,0.371104409265715,0.5853859067013574,0.46802193799912784,0.5689863145912104
aes_cipher_top,0.8,0.5,0.3263015203012855,0.2239789134392395,0.32528537534474006,0.5360061541641916,0.44174472803515047,0.5533832320956468
aes_cipher_top,0.65,1.25,0.3272122915160999,0.2296622176685312,0.3334848236956681,0.5179959483356508,0.4368466203228467,0.5453339096544192
RocketTile,0.65,1.0,0.488629601696676,0.3116735076062122,0.44896215187811706,0.6506756489393306,0.49646862000740005,0.6092009439680539
ariane,0.8,2.0,0.4187274681464525,0.22853562158522175,0.3339638654291608,0.6213456035004854,0.4684285363590981,0.5719621403141695
RocketTile,0.8,0.75,0.4862450372095375,0.31139290924487645,0.4486516000959009,0.659450289263239,0.4985085432880282,0.6119497413346238
jpeg_encoder,0.6,1.0,0.36985736350947884,0.21834943737327575,0.3236224812005293,0.6411778300622607,0.4396533811124191,0.5415415191567503
aes_cipher_top,0.75,1.0,0.3234066514049705,0.22702690491528976,0.3298009692966462,0.5272801513095917,0.4382256472869603,0.5473700378148256
mempool_tile_wrap,0.65,0.5,0.4658600316270311,0.25471304228229114,0.3730999790371176,0.6421933065975411,0.5040849670409895,0.6190541471465211
mempool_tile_wrap,0.8,1.25,0.4714953389194978,0.256706052755831,0.37599996855662404,0.626567808206491,0.5018483787783771,0.6164485214002438
bsg_chip,0.5,1.5,0.4315306402668499,0.2550183420875504,0.3717887087775851,0.582537401045701,0.4747686331672277,0.5770203841462458
mempool_tile_wrap,0.75,1.0,0.4725360559353208,0.2595240772890982,0.37979902612001093,0.6360082769755837,0.5038501575258424,0.6188329358960831
ariane,0.7,2.0,0.416048010048277,0.22394992625907298,0.3275102241199257,0.6191843653346721,0.47082634888849045,0.5742687072544083
jpeg_encoder,0.7,1.5,0.37951607185512204,0.22524271142026178,0.3325402747283479,0.6427107267197884,0.4279046653731122,0.527771856756603
ariane,0.65,1.25,0.418089589669712,0.22668469265577393,0.33124589286525224,0.6178016912456433,0.46855328749117703,0.5721666791196751
aes_cipher_top,0.8,1.25,0.32090615115337046,0.2222677039682857,0.32281415094005705,0.5171346396166007,0.4294428199316301,0.5372507733945434
ariane,0.65,1.5,0.4202199813488069,0.22577085150169005,0.33008842495152624,0.61856798032849,0.4669921056176304,0.5700287937020635
RocketTile,0.7,0.75,0.4892622797061884,0.3131702279352914,0.45124729284350157,0.6530350206618954,0.49848893397251987,0.6115147263486711
bsg_chip,0.5,2.0,0.4410968357502882,0.26244536189743717,0.3814572882587201,0.5873878552880561,0.4688731648601904,0.5704481001060615
bsg_chip,0.55,1.25,0.43937209332682564,0.2557188153021717,0.3725169653928874,0.5878237069793365,0.47883347414188915,0.5816198472303737
aes_cipher_top,0.7,0.75,0.32684974046067594,0.22707479007078288,0.3295641007184721,0.5288940634660492,0.4417002596687851,0.551926918672627
bsg_chip,0.6,1.75,0.4358449818203334,0.25674465248272454,0.3738568933270707,0.5894692706884777,0.48027637916840926,0.5837644416128744
mempool_tile_wrap,0.7,1.0,0.4684849716177758,0.2566915651329091,0.3756260835971141,0.6324229822306463,0.4990033484753908,0.6133336724971045
mempool_tile_wrap,0.8,0.75,0.4706454483673789,0.25892609439908165,0.37836865014432775,0.6360753569938765,0.49955132633845933,0.613585605454371
ariane,0.6,2.0,0.4167278017271805,0.22467549238368306,0.3284657725343749,0.6195128672821637,0.4714731982936301,0.5751139942959023
ariane,0.65,2.0,0.42198671855619796,0.2284377488719468,0.3339611038500573,0.6181661299104161,0.46996098654871254,0.5733080798103675
jpeg_encoder,0.75,0.5,0.3799272873684722,0.22904223248208308,0.33858084298251023,0.6395568371913893,0.43425111763974256,0.5345994033351267
RocketTile,0.8,1.25,0.4866661352020837,0.3112576604517049,0.4477268863573026,0.6599994303844092,0.4988310578329927,0.6114692119367212
bsg_chip,0.7,1.25,0.43475541547867813,0.25423755914492774,0.3704990173503466,0.5869509097033984,0.4827595659226373,0.5864459538416762
bsg_chip,0.65,1.25,0.4335744848331096,0.2534798256528446,0.3695705136665877,0.5860654677122982,0.4758251901876324,0.5782570616170479
jpeg_encoder,0.6,1.25,0.3786780711476446,0.22596678150223673,0.3338823809854693,0.6408283285168723,0.43268356920217804,0.5336460261255437
jpeg_encoder,0.8,0.5,0.38580230827061707,0.2309585371368693,0.3409386951678397,0.6377217175705502,0.42915901716714316,0.5288484057695302
bsg_chip,0.7,1.0,0.43466831344009893,0.25277753549201065,0.3684384610257687,0.5876936458241455,0.47642491899504064,0.5787996043043342
RocketTile,0.75,1.25,0.48403716077212433,0.3102543364674276,0.4462560843506697,0.6580351010031759,0.5028255637690292,0.6170867943957822
ariane,0.8,1.75,0.4126102752182177,0.22234464124155462,0.3253437860422993,0.614769169294817,0.46430451304911113,0.5670117607021634
mempool_tile_wrap,0.6,0.75,0.4703323159719169,0.2586230820558552,0.3788117824975258,0.634439945701528,0.5010861937695003,0.6155381650522092
mempool_tile_wrap,0.65,0.75,0.4715551098303165,0.2600172636192091,0.38000336416329994,0.6328073378049826,0.501311095850227,0.6157757670062391
RocketTile,0.75,1.5,0.4873676775745436,0.3111791875134632,0.4476474156065215,0.6620049515948443,0.50020976838554,0.6130825281760398
jpeg_encoder,0.65,1.5,0.38182931686306176,0.22798688595731934,0.33659196912658745,0.6419613921778022,0.4289025457391156,0.528604514320027
mempool_tile_wrap,0.65,1.25,0.46803146257675404,0.25439157341881186,0.3733860826740548,0.6302749351540292,0.5036958921593753,0.6184162241075121
mempool_tile_wrap,0.65,1.5,0.47133681504719116,0.2573767958273977,0.3771635246736178,0.6296232187029062,0.5013695023085565,0.6152782080493306
RocketTile,0.6,0.75,0.4860527573494839,0.3080040993119045,0.4443257803296954,0.6549925678061843,0.5016881423228472,0.6157362695318057
mempool_tile_wrap,0.65,1.0,0.4661682367250988,0.25626447357695686,0.37462328745362966,0.6270759181309143,0.49709559746716403,0.6110281068500201
mempool_tile_wrap,0.7,1.25,0.46504357712839983,0.25234217457969654,0.3699464568366949,0.6302840019536059,0.5013729033252997,0.6157627494450524
bsg_chip,0.65,1.5,0.43256925073627084,0.25668072775015005,0.37408652617512406,0.5834336661218348,0.4755388499473328,0.5780995373613771
ariane,0.6,1.75,0.41367616028340687,0.22475730150706938,0.3282771629357132,0.6181980246039885,0.47000542201845696,0.5734750054455657
bsg_chip,0.5,1.0,0.4373079997014771,0.25844765871675585,0.376708012603738,0.5864564390352234,0.4787600565007784,0.5819628500789056
aes_cipher_top,0.8,1.0,0.3318822499980095,0.22957687567153473,0.3333802636764107,0.5284101398342517,0.4372372423755809,0.5473946199373744
jpeg_encoder,0.6,1.5,0.3729466034616922,0.22057663952330564,0.32598109315933815,0.6401688476812929,0.43600935770926136,0.5370679962484438
aes_cipher_top,0.8,1.5,0.31878208201225505,0.22140049435579842,0.32145725780492235,0.5104869277590697,0.4257465990631507,0.5316126399158707
mempool_tile_wrap,0.8,1.0,0.4704793175053154,0.2591732451815385,0.3786046436824654,0.6305268231086576,0.49863056387218985,0.6138122701626427
jpeg_encoder,0.8,0.75,0.37717143315210877,0.22466307378372968,0.33210377619143916,0.6414246438518183,0.42864264990083406,0.5288347712532689
jpeg_encoder,0.7,0.75,0.3795494808349715,0.22495265865441413,0.3320255028056391,0.6477567473117462,0.43514823873162756,0.5362574819520635
jpeg_encoder,0.7,0.5,0.38048125045569886,0.22649544056465223,0.3345659915883307,0.6398140212983192,0.4353581795047584,0.5356072818220703
bsg_chip,0.55,1.75,0.43357306175912735,0.2547220105179346,0.37093022493414163,0.5878139453401499,0.4793935981816633,0.5827250000068731
RocketTile,0.8,0.5,0.4960688454437082,0.31959457570556415,0.4605254049128506,0.654720912266793,0.4978490496645257,0.6106335804673204
jpeg_encoder,0.7,1.25,0.3792152874220762,0.22419887540159,0.331128004854454,0.6399053841197172,0.4309374552535142,0.5306573563434908
bsg_chip,0.65,1.75,0.42628926649509613,0.2507494405276416,0.3654220213406281,0.5901207134518077,0.4764756086531535,0.5791734729915945
aes_cipher_top,0.6,0.5,0.31854123140527696,0.22362061623995116,0.32469236848888267,0.5159685432676127,0.43347892686877654,0.5395945259604163
jpeg_encoder,0.65,1.0,0.37951529518222266,0.22652493253911332,0.33517261329527603,0.6412980239833121,0.43084069359752436,0.531176886412177
bsg_chip,0.5,1.25,0.4429789674804812,0.25907031647991846,0.3772167366061033,0.5845065679607658,0.47719826491950307,0.57981306245299
ariane,0.65,1.75,0.4183066659238068,0.22536867941530928,0.32955039228559546,0.623914509617588,0.4714921672311641,0.5751572024307074
aes_cipher_top,0.75,0.75,0.32233242020490105,0.22525858308704771,0.32702427277443846,0.537865936257303,0.44934626726970744,0.5621369829359791
bsg_chip,0.7,1.5,0.4287607814262965,0.25502474763339683,0.371104409265715,0.5853859067013574,0.46802193799912784,0.5689863145912104
aes_cipher_top,0.8,0.5,0.3263015203012855,0.2239789134392395,0.32528537534474006,0.5360061541641916,0.44174472803515047,0.5533832320956468
aes_cipher_top,0.65,1.25,0.3272122915160999,0.2296622176685312,0.3334848236956681,0.5179959483356508,0.4368466203228467,0.5453339096544192
RocketTile,0.65,1.0,0.488629601696676,0.3116735076062122,0.44896215187811706,0.6506756489393306,0.49646862000740005,0.6092009439680539
ariane,0.8,2.0,0.4187274681464525,0.22853562158522175,0.3339638654291608,0.6213456035004854,0.4684285363590981,0.5719621403141695
RocketTile,0.8,0.75,0.4862450372095375,0.31139290924487645,0.4486516000959009,0.659450289263239,0.4985085432880282,0.6119497413346238
jpeg_encoder,0.6,1.0,0.36985736350947884,0.21834943737327575,0.3236224812005293,0.6411778300622607,0.4396533811124191,0.5415415191567503
aes_cipher_top,0.75,1.0,0.3234066514049705,0.22702690491528976,0.3298009692966462,0.5272801513095917,0.4382256472869603,0.5473700378148256
mempool_tile_wrap,0.65,0.5,0.4658600316270311,0.25471304228229114,0.3730999790371176,0.6421933065975411,0.5040849670409895,0.6190541471465211
mempool_tile_wrap,0.8,1.25,0.4714953389194978,0.256706052755831,0.37599996855662404,0.626567808206491,0.5018483787783771,0.6164485214002438
bsg_chip,0.5,1.5,0.4315306402668499,0.2550183420875504,0.3717887087775851,0.582537401045701,0.4747686331672277,0.5770203841462458
mempool_tile_wrap,0.75,1.0,0.4725360559353208,0.2595240772890982,0.37979902612001093,0.6360082769755837,0.5038501575258424,0.6188329358960831
ariane,0.7,2.0,0.416048010048277,0.22394992625907298,0.3275102241199257,0.6191843653346721,0.47082634888849045,0.5742687072544083
bsg_chip,0.5,1.75,0.42819454855872185,0.25307210222164567,0.36905041614827794,0.5835939996727268,0.47393194237516706,0.576266087856555
mempool_tile_wrap,0.6,1.5,0.4700646604866381,0.2562303071042539,0.37535046859688703,0.6288897849318743,0.5026420705945321,0.6169883772076733
bsg_chip,0.65,2.0,0.42949711066966784,0.25331261288370477,0.3692570214666797,0.5881219617423507,0.47590583271273107,0.578451095937164
mempool_tile_wrap,0.75,0.5,0.46651040195783755,0.2568438825666396,0.3760983706838793,0.6431947248992862,0.5041512337020103,0.61960941037855
mempool_tile_wrap,0.75,1.5,0.4728022384433817,0.2587345391385282,0.37862107378742477,0.6202100853969408,0.49648413317623147,0.6112842500831636
RocketTile,0.7,1.0,0.47997081572517725,0.30506438830132626,0.44095539591445276,0.655322298664355,0.4991285493066814,0.6130794481508934
bsg_chip,0.6,1.25,0.43262783834634944,0.2539207788012314,0.3701386205623913,0.5828023357441267,0.47293336572484573,0.5746999031900027
aes_cipher_top,0.75,1.5,0.3064050111025824,0.213468500852936,0.3101169269263866,0.5112673580178929,0.42929113510088085,0.534635914101611
mempool_tile_wrap,0.7,0.5,0.467252804784787,0.25751488105908676,0.3769497527743632,0.6418088959712831,0.5055342654217646,0.6213908181128812
RocketTile,0.8,1.0,0.4836557635970858,0.3092136672325718,0.44583928036063436,0.6513728522178033,0.49674790397035995,0.6112119204459436
ariane,0.65,1.25,0.418089589669712,0.22668469265577393,0.33124589286525224,0.6178016912456433,0.46855328749117703,0.5721666791196751
aes_cipher_top,0.8,1.25,0.32090615115337046,0.2222677039682857,0.32281415094005705,0.5171346396166007,0.4294428199316301,0.5372507733945434
ariane,0.65,1.5,0.4202199813488069,0.22577085150169005,0.33008842495152624,0.61856798032849,0.4669921056176304,0.5700287937020635
RocketTile,0.7,0.75,0.4892622797061884,0.3131702279352914,0.45124729284350157,0.6530350206618954,0.49848893397251987,0.6115147263486711
bsg_chip,0.5,2.0,0.4410968357502882,0.26244536189743717,0.3814572882587201,0.5873878552880561,0.4688731648601904,0.5704481001060615
bsg_chip,0.55,1.25,0.43937209332682564,0.2557188153021717,0.3725169653928874,0.5878237069793365,0.47883347414188915,0.5816198472303737
aes_cipher_top,0.7,0.75,0.32684974046067594,0.22707479007078288,0.3295641007184721,0.5288940634660492,0.4417002596687851,0.551926918672627
bsg_chip,0.6,1.75,0.4358449818203334,0.25674465248272454,0.3738568933270707,0.5894692706884777,0.48027637916840926,0.5837644416128744
mempool_tile_wrap,0.7,1.0,0.4684849716177758,0.2566915651329091,0.3756260835971141,0.6324229822306463,0.4990033484753908,0.6133336724971045
mempool_tile_wrap,0.8,0.75,0.4706454483673789,0.25892609439908165,0.37836865014432775,0.6360753569938765,0.49955132633845933,0.613585605454371
ariane,0.6,2.0,0.4167278017271805,0.22467549238368306,0.3284657725343749,0.6195128672821637,0.4714731982936301,0.5751139942959023
ariane,0.65,2.0,0.42198671855619796,0.2284377488719468,0.3339611038500573,0.6181661299104161,0.46996098654871254,0.5733080798103675
jpeg_encoder,0.75,0.5,0.3799272873684722,0.22904223248208308,0.33858084298251023,0.6395568371913893,0.43425111763974256,0.5345994033351267
RocketTile,0.8,1.25,0.4866661352020837,0.3112576604517049,0.4477268863573026,0.6599994303844092,0.4988310578329927,0.6114692119367212
bsg_chip,0.7,1.25,0.43475541547867813,0.25423755914492774,0.3704990173503466,0.5869509097033984,0.4827595659226373,0.5864459538416762
bsg_chip,0.65,1.25,0.4335744848331096,0.2534798256528446,0.3695705136665877,0.5860654677122982,0.4758251901876324,0.5782570616170479
jpeg_encoder,0.6,1.25,0.3786780711476446,0.22596678150223673,0.3338823809854693,0.6408283285168723,0.43268356920217804,0.5336460261255437
jpeg_encoder,0.8,0.5,0.38580230827061707,0.2309585371368693,0.3409386951678397,0.6377217175705502,0.42915901716714316,0.5288484057695302
bsg_chip,0.7,1.0,0.43466831344009893,0.25277753549201065,0.3684384610257687,0.5876936458241455,0.47642491899504064,0.5787996043043342
RocketTile,0.75,1.25,0.48403716077212433,0.3102543364674276,0.4462560843506697,0.6580351010031759,0.5028255637690292,0.6170867943957822
ariane,0.8,1.75,0.4126102752182177,0.22234464124155462,0.3253437860422993,0.614769169294817,0.46430451304911113,0.5670117607021634
mempool_tile_wrap,0.6,0.75,0.4703323159719169,0.2586230820558552,0.3788117824975258,0.634439945701528,0.5010861937695003,0.6155381650522092
mempool_tile_wrap,0.65,0.75,0.4715551098303165,0.2600172636192091,0.38000336416329994,0.6328073378049826,0.501311095850227,0.6157757670062391
RocketTile,0.75,1.5,0.4873676775745436,0.3111791875134632,0.4476474156065215,0.6620049515948443,0.50020976838554,0.6130825281760398
jpeg_encoder,0.65,1.5,0.38182931686306176,0.22798688595731934,0.33659196912658745,0.6419613921778022,0.4289025457391156,0.528604514320027
mempool_tile_wrap,0.65,1.25,0.46803146257675404,0.25439157341881186,0.3733860826740548,0.6302749351540292,0.5036958921593753,0.6184162241075121
mempool_tile_wrap,0.65,1.5,0.47133681504719116,0.2573767958273977,0.3771635246736178,0.6296232187029062,0.5013695023085565,0.6152782080493306
RocketTile,0.6,0.75,0.4860527573494839,0.3080040993119045,0.4443257803296954,0.6549925678061843,0.5016881423228472,0.6157362695318057
mempool_tile_wrap,0.65,1.0,0.4661682367250988,0.25626447357695686,0.37462328745362966,0.6270759181309143,0.49709559746716403,0.6110281068500201
mempool_tile_wrap,0.7,1.25,0.46504357712839983,0.25234217457969654,0.3699464568366949,0.6302840019536059,0.5013729033252997,0.6157627494450524
bsg_chip,0.65,1.5,0.43256925073627084,0.25668072775015005,0.37408652617512406,0.5834336661218348,0.4755388499473328,0.5780995373613771
ariane,0.6,1.75,0.41367616028340687,0.22475730150706938,0.3282771629357132,0.6181980246039885,0.47000542201845696,0.5734750054455657
bsg_chip,0.5,1.0,0.4373079997014771,0.25844765871675585,0.376708012603738,0.5864564390352234,0.4787600565007784,0.5819628500789056
aes_cipher_top,0.8,1.0,0.3318822499980095,0.22957687567153473,0.3333802636764107,0.5284101398342517,0.4372372423755809,0.5473946199373744
jpeg_encoder,0.6,1.5,0.3729466034616922,0.22057663952330564,0.32598109315933815,0.6401688476812929,0.43600935770926136,0.5370679962484438
aes_cipher_top,0.8,1.5,0.31878208201225505,0.22140049435579842,0.32145725780492235,0.5104869277590697,0.4257465990631507,0.5316126399158707
mempool_tile_wrap,0.8,1.0,0.4704793175053154,0.2591732451815385,0.3786046436824654,0.6305268231086576,0.49863056387218985,0.6138122701626427
jpeg_encoder,0.8,0.75,0.37717143315210877,0.22466307378372968,0.33210377619143916,0.6414246438518183,0.42864264990083406,0.5288347712532689
jpeg_encoder,0.7,0.75,0.3795494808349715,0.22495265865441413,0.3320255028056391,0.6477567473117462,0.43514823873162756,0.5362574819520635
jpeg_encoder,0.7,0.5,0.38048125045569886,0.22649544056465223,0.3345659915883307,0.6398140212983192,0.4353581795047584,0.5356072818220703
bsg_chip,0.55,1.75,0.43357306175912735,0.2547220105179346,0.37093022493414163,0.5878139453401499,0.4793935981816633,0.5827250000068731
RocketTile,0.8,0.5,0.4960688454437082,0.31959457570556415,0.4605254049128506,0.654720912266793,0.4978490496645257,0.6106335804673204
jpeg_encoder,0.7,1.25,0.3792152874220762,0.22419887540159,0.331128004854454,0.6399053841197172,0.4309374552535142,0.5306573563434908
bsg_chip,0.65,1.75,0.42628926649509613,0.2507494405276416,0.3654220213406281,0.5901207134518077,0.4764756086531535,0.5791734729915945
aes_cipher_top,0.6,0.5,0.31854123140527696,0.22362061623995116,0.32469236848888267,0.5159685432676127,0.43347892686877654,0.5395945259604163
jpeg_encoder,0.65,1.0,0.37951529518222266,0.22652493253911332,0.33517261329527603,0.6412980239833121,0.43084069359752436,0.531176886412177
bsg_chip,0.5,1.25,0.4429789674804812,0.25907031647991846,0.3772167366061033,0.5845065679607658,0.47719826491950307,0.57981306245299
ariane,0.65,1.75,0.4183066659238068,0.22536867941530928,0.32955039228559546,0.623914509617588,0.4714921672311641,0.5751572024307074
aes_cipher_top,0.75,0.75,0.32233242020490105,0.22525858308704771,0.32702427277443846,0.537865936257303,0.44934626726970744,0.5621369829359791
bsg_chip,0.7,1.5,0.4287607814262965,0.25502474763339683,0.371104409265715,0.5853859067013574,0.46802193799912784,0.5689863145912104
aes_cipher_top,0.8,0.5,0.3263015203012855,0.2239789134392395,0.32528537534474006,0.5360061541641916,0.44174472803515047,0.5533832320956468
aes_cipher_top,0.65,1.25,0.3272122915160999,0.2296622176685312,0.3334848236956681,0.5179959483356508,0.4368466203228467,0.5453339096544192
RocketTile,0.65,1.0,0.488629601696676,0.3116735076062122,0.44896215187811706,0.6506756489393306,0.49646862000740005,0.6092009439680539
ariane,0.8,2.0,0.4187274681464525,0.22853562158522175,0.3339638654291608,0.6213456035004854,0.4684285363590981,0.5719621403141695
RocketTile,0.8,0.75,0.4862450372095375,0.31139290924487645,0.4486516000959009,0.659450289263239,0.4985085432880282,0.6119497413346238
jpeg_encoder,0.6,1.0,0.36985736350947884,0.21834943737327575,0.3236224812005293,0.6411778300622607,0.4396533811124191,0.5415415191567503
aes_cipher_top,0.75,1.0,0.3234066514049705,0.22702690491528976,0.3298009692966462,0.5272801513095917,0.4382256472869603,0.5473700378148256
mempool_tile_wrap,0.65,0.5,0.4658600316270311,0.25471304228229114,0.3730999790371176,0.6421933065975411,0.5040849670409895,0.6190541471465211
mempool_tile_wrap,0.8,1.25,0.4714953389194978,0.256706052755831,0.37599996855662404,0.626567808206491,0.5018483787783771,0.6164485214002438
bsg_chip,0.5,1.5,0.4315306402668499,0.2550183420875504,0.3717887087775851,0.582537401045701,0.4747686331672277,0.5770203841462458
mempool_tile_wrap,0.75,1.0,0.4725360559353208,0.2595240772890982,0.37979902612001093,0.6360082769755837,0.5038501575258424,0.6188329358960831
ariane,0.7,2.0,0.416048010048277,0.22394992625907298,0.3275102241199257,0.6191843653346721,0.47082634888849045,0.5742687072544083
bsg_chip,0.5,1.75,0.42819454855872185,0.25307210222164567,0.36905041614827794,0.5835939996727268,0.47393194237516706,0.576266087856555
mempool_tile_wrap,0.6,1.5,0.4700646604866381,0.2562303071042539,0.37535046859688703,0.6288897849318743,0.5026420705945321,0.6169883772076733
bsg_chip,0.65,2.0,0.42949711066966784,0.25331261288370477,0.3692570214666797,0.5881219617423507,0.47590583271273107,0.578451095937164
mempool_tile_wrap,0.75,0.5,0.46651040195783755,0.2568438825666396,0.3760983706838793,0.6431947248992862,0.5041512337020103,0.61960941037855
